,name,review
10,"West Island, Cocos (Keeling) Islands"," the cocos (keeling) islands lie 2750km north-west of perth in the indian ocean how to see it for yourself? virgin australia flies to the cocos (keeling) islands from perth via christmas island. comprising the south keeling islands (which ring a central lagoon) and the separate north keeling island, only two of the 27 islands are inhabited. these coral atolls were visited by charles darwin in 1836 and his studies here contributed to his theory on how coral reefs form. the islands were settled for copra production in 1826 and the small population is descended from the original, mostly malay muslim workers. they voted to become part of australia in 1984. a quintessential tropical paradise, you come here to dive, snorkel, camp, surf, kite-surf, birdwatch and chill out, not party. why i love it “the image is taken from the south end of west island looking over the lagoon. sometimes the water is glassed off, sometimes it’s littered with colourful kite-surfing sails, and sometimes it has the most magical sunsets and moon rises! all together on a beautiful and remote tropical island.” – jules bush, cocos keeling islands visitor centre"
11,"Norah Head Lighthouse, NSW"," about 115km north of sydney on the state’s central coast, the lighthouse can be found at 40 bush st, norah head how to see it for yourself? this shot was captured from the north end of soliders beach, looking up to the lighthouse, which can be seen in the distance to the left. there are also amazing views from the lighthouse itself. visitors can have a guided tour around it or even spend the night there, in nearby cottages that were once the lighthouse keeper’s quarters. why i love it “i love the emotion of this scene: the contrast of lights and darks, the newly risen sun in the clouds, the crash of the surf and the shape of the rocks. in the distance stands norah head lighthouse, one of the most recognisable features of the nsw central coast. here its beam farewells the final shadows of night, yet how feeble it appears compared to the glory of the sun.” – ken duncan "
12,"Piccaninny Creek, WA"," near the nt border 300km south of kununurra, the creek cuts through purnululu national park, past the bungle bungles how to see it for yourself? this picture was captured at the end of piccaninny gorge, which visitors can access on a hike of two to seven days via spinifex-covered grasslands and a lookout over the domes. walkers must be fully prepared as they’ll encounter fallen boulders and loose rocks, and there is no reliable drinking water along the way. register at the visitor centre for more info. why i love it “as the sun rises, the awe-inspiring domes of the bungle bungles massif are reflected with unwavering precision in the waters of a pool at the end of piccaninny gorge. weathered over millennia into amazing formations of bandedstone, the domes rise like a stupendous city in the remote north-east of wa. this pool, photographed at the end of the wet season, is likely to last only a month or so before the heat dries it to bare rock. but in the meantime, it awaits the dawning of a new day, adding tranquillity to the harsh world it so delicately mirrors.” – ken duncan "
13,"Mitchell Falls, WA"," in the state’s far north, on the western side of the kimberley, about 15 hours’ drive west of kununurra how to see it for yourself? mitchell plateau is accessible by car during thedry season via an unsealed 4wd track off the gibb river road, along kulumburu road. continue along it, turning at the mitchell plateau track and drive on to the mitchell falls campsite. it is a 3km walk from the campground to the falls, passing a variety of habitats, waterholes and aboriginal rock art. to get another perspective of the mitchell falls, flight tours of the plateau are available with operators such as bush flight and slingair heliwork. why i love it “while camping at mitchell falls we were surrounded throughout the night by fires lit by national park authorities to aid the germination of bush seed. this form of environmental care has been practised by aborigines for millennia. as smoke tempered the early morning light with lovely evenness, the colours of rock and water began to glow. now as i recall this unrepeatable moment, i think of a line from an old song by the eagles – ‘call some place paradise, kiss it goodbye’ – and i pray for the preservation of such unique wilderness.” – ken duncan "
14,"Mossman Gorge, QLD"," in the southern section of the world heritage-listed daintree national park, about 20km west of port douglas in tropical north queensland how to see it for yourself? this image was taken from the base of steps down to the waterhole at mossman gorge. the the best way to see this view first-hand is on fivefoot. guided walks are available, which encompass other sites that are culturally significant to the local kuku yalanji people. the vivid green of the water pictured tends to happen after extended periods without rain. according to the photographer, for ultimate serenity, the best time to visit is early in the morning before the crowds set in. why i love it “towards the end of the dry season the rapids of mossman gorge have usually disappeared. by then, the calm waters offer a perfect place to take a dip and escape the heat of tropical north queensland. i really love this view because the shades of green in the water and surrounding rainforest are truly remarkable.” – mark gray "
15,"Ormiston Gorge, NT"," off namatjira drive, 135km west of alice springs in west macdonnell national park how to see it for yourself? this shot of ormiston gorge was taken from the banks of the creek, a very short walk from the car park. the visitor centre is about 8km from the ormiston gorge turn-off on namatjira drive, and although roads are sealed, they can become impassable after heavy rain. however, the best way to see the gorge is to walk one of the many trails available, ranging from the five minute waterhole walk, which has wheelchair access to the end of the paved path, to the ormiston pound walk, which takes up to four hours to complete. for keen hikers, the larapinta trail also passes through the area, but it is a challenging long-distance walk that requires careful preparation. why i love it “this is classic australian outback country. people often think of the centre of australia as arid, but in the desert there are some beautiful oases and this is one of those places. where there is water, there is life, as evidenced by these graceful old river gums surrounding the waterhole. the creek is fed by spring water, and really only runs after heavy rain. the rich red walls rising up around the creek turn the gorge into a sanctuary – a beautiful place to go for a swim and find relief from the heat.” – ken duncan "
16,"Cape Hauy, TAS"," tasman peninsula, 95km south-east of hobart how to see it for yourself? this view is at the end of the cape, which has a detached sea stack known as the candlestick. these dolerite seacliffs are among the tallest and oldest in australia. kayaking is available with operators such as roaring 40s ocean kayaking. to see it from the land, the cape hauy track is a five-hour return trek that begins in fortescue bay, taking in heath and woodland before the views of the cliffs. why i love it “this breathtaking view gives me a genuine feel for untouched wilderness. even better is the experience of walking along the track through a variety of health and woodland that reaches the magnificent views of steep cliffs and rock formations. the spectacular columns and cliffs surrounded by pristine waters are incredible.” – diane byrne, tourism tasmania "
17,"Mt Feathertop from Mt Hotham, VIC"," in the heart of the australian alps national park, 385km north-east of melbourne how to see it for yourself? you can drive to hotham, at the crest of the great alpine road – the highest bitumen road in australia. there are also several coaches that service the area, such as christian’s bus co and o’connell’s omeo bus service. otherwise, hotham’s airport is serviced by qantaslink from sydney in peak season – the flight takes 80 minutes – and charter flights from across australia year round, and is a handy 20km from the slopes. but while snow-based activities are popular during the winter months, in summer the landscape transforms into grassy mountain ranges speckled in wildflowers. various tracks and trails thread through them, ideal for hiking, biking and horse riding. why i love it “this is one of the most stunning views i have ever seen. to me, this view looking out onto mt feathertop is perfect no matter what time of day or year. whether it is covered in snow or surrounded by blue skies, it can be admired and enjoyed all the time. the sunset here will take your breath away. views like this make working at hotham worthwhile.” – ruth appleyard, mt hotham skiing "
18,"Tantabiddi Sanctuary Zone, WA"," the centre of ningaloo reef, which skirts cape range peninsula, west of exmouth and 1265km north of perth how to see it for yourself? this is a shot of the reefviewer glass-bottomed boat in the centre of the sanctuary. tantabiddi covers only four square kilometres but is home to a wealth of marine life such as green sea turtles, estuary cod, parrotfish and clownfish. ningaloo ecology cruises offers boat and snorkelling tours in the sanctuary, while birds eye view offers microlight flights for great aerial views like this. why i love it this is my office! the beauty of world heritage listed ningaloo reef never ceases to amaze me. with many years on the job as a captain of the boat pictured, this image made me realise again how lucky i am. observing people’s excitement especially kids – is priceless. it stresses the responsibility to pass it on to my children in its stunning untouched state.” – alek nowak, ningaloo ecology cruises "
19,"Cook’s Look, Lizard Island, QLD"," australia’s northernmost island, a 1 hour flight of cairns. how to see it for yourself? after taking the flight to lizard island from cairns, cook’s look can be accessed via a 4 kilometer steep hike to the vantage point. there, panoramic views of the island can be enjoyed, in between snorkels of the great barrier reef of course. why i love it “to call lizard island paradise feels like a gross understatement. rocky outcrops of granite. dry, sparsely vegetated hills. a pleasing barrenness tumbling down to coral-white beaches and aquamarine waters, this lookout encompasses the best of this dry island, which in many ways is reminiscent of the greek islands in the aegean sea” – eliza sholly, deputy digital editor of australian traveller "
20,"Finke River Lookout, NT"," near glen helen resort, 130km west of alice springs on namatjira drive how to see it for yourself? the ancient, 600km finke river rarely flows and is often just a series of waterholes. there’s a permanent one in the gorge at glen helen in west macdonnell national park, which is also one of the few points where you can access the river by sealed road. glen helen resort has motel-style accommodation and camping. why i love it “this scene – typical of the country that inspired albert namatjira – was shot near glen helen. it was one of those rare occasions when the finke river was flowing here. i had already packed up for the day when, suddenly, i saw the sky beginning to colour beautifully. i raced back out just in time to shoot this spectacular view.” – ken duncan "
21,"Bicheno, TAS"," on tasmania’s east coast above wineglass bay, 180km north-east of hobart. how to see it for yourself? this photo is taken directly in front of diamond island resort, at 69 tasman highway, about 2km north of central bicheno, looking north up the coastline. why i love it “the feeling i get from sitting on a rock and taking in the views of this magical sheltered bay is something special. its natural beauty and spectacular landscape offer the most peaceful setting where i can totally relax, reflect and think positive thoughts about the wonderful life i lead.” – diane byrne, tourism tasmania "
22,"Hamersley Dunes, WA"," in the fitzgerald river national park, 550km south-east of perth between albany and esperance how to see it for yourself? fitzgerald river national park contains more than 1800 plant species, 62 unique to the park, and more animal species than any other park in australia. there are entry points on both sides: from the western side via bremer bay, or the eastern side via hopetoun. the central area of the park, however, is only accessible by 4wd or on foot. why i love it “fitzgerald river national park has incredibly diverse scenery. the hamersley dunes are just like a white-sand sahara. there’s 4wd access and great fishing here, but the best catches are often what you capture through the lens.” – elisabeth knowles, editor, australian traveller "
23,"Uluru, NT"," off the lasseter highway, 450km south-west of alice springs how to see it for yourself? the easiest way to see this sacred monolith is to fly direct to ayers rock airport (yulara), which is about 22km north of uluru. alternatively you can drive or catch a tour bus from alice springs with an operator like travel aust (travelaust.com.au), which offers daily transfers. why i love it “indigenous australians believe uluru to be the centre of all dreaming. traditionally, this area was seen as something like the hub of a wheel, with songlines radiating from it across the land. i believe uluru is a place that is special for all australians. i would even go so far as to say that i believe a new ‘song’ is coming – a song of unity and reconciliation between the different cultures of our nation – that will spread powerfully through the rest of the land.” – ken duncan "
24,"The Pinnacles, WA"," nambung national park, 230km north of perth how to see it for yourself? vehicles can access nambung national park from the north via cervantes, or from perth on the scenic indian ocean drive. access to the pinnacles area itself is via a 1.2km marked walk trail or a 4km drive through the park. visit the pinnacles lookout for a more elevated view. why i love it “regarded as one of australia’s most unique landscapes, the pinnacles desert features thousands of golden limestone spires rising eerily out of the sand. you can get up close to the pinnacles, some of which are several metres high, on a scenic drive or walk.” – grace pappelendam, australia’s coral coast "
25,"Wallace Hut, VIC"," near falls creek, 375km north-east of melbourne how to see it for yourself? by car, follow bogong high plains road from falls creek towards omeo – the road is sealed but closes during the winter season, so be prepared. follow the road for about 7.5km and park at the signposted entrance. from there it is an easy 750m walk to the hut. why i love it “this photograph celebrates an era of legends, when cattlemen roamed the high country of australia’s southern range. this hut was one of the men’s old ramshackle resting places. it is captured here in the first light of morning between the spreading snow gums, a scene both of beauty and nostalgia. the good sense of those days is highlighted by the horrendous fires which now so often threaten these protected places. the cattle which once kept the undergrowth in check are gone. many people (myself included) believe they should now be allowed back.” – ken duncan "
26,"Carisbrooke Station, QLD"," off cork mail road, 85km south-west of winton, 970km west of rockhampton how to see it for yourself? from winton, follow kennedy development road in the direction on boulia, then turn left at cork mail road for 45km and the entrance to carisbrooke station is on the left. the station also has a 1100m airstrip, with light aircraft flying to winton. this view was taken from the top of an escarpment that runs parallel to jundah road, bordering the back of the property, looking back towards the station. the escarpment reaches 80m in places, giving great views area. it can be accessed by car from carisbrooke, but it can be limited during the wet season. why i love it “the colours are breathtaking; reds, ochres, whites and shades of green, topped by the clearest of blue skies. during the wet everything is saturated, so the colours seem to “pop” so much more. one can easily find a spot to sit all day to contemplate life and marvel at the beauty of this time-sculpted, ancient landscape.” – ziggy ziegler, the resort "
27,"Lake Oberon, TAS"," the western arthur range, 90km south-west of hobart in southwest national park how to see it for yourself? this picture was taken looking north-west in the 15km-long, 22-peak western arthurs, south of lake pedder in the tasmanian wilderness world heritage area. you access the range from scotts peak dam on a challenging walk of two to three days, or longer to traverse the whole range. tasmanian wilderness experiences offers guided walks through the western arthurs. why i love it “i love the breathtaking scenery in this magical part of the tasmanian wilderness. i can easily spend time watching the wildlife, admiring the scenery and taking a few leisurely walks along the way. this is truly a special place that i can never remove from my mind.” – diane byrne, tourism tasmania "
28,"Bay of Fires, TAS"," on tasmania’s north-east coast, 275km north of hobart how to see it for yourself how to see it for yourself? from st helens (where you should buy food and fuel if camping), take binalong bay road to the signposted turn-off to the gardens, a hamlet at the northern end of the bay of fires conservation area. this is a 13km stretch of coast down to binalong bay that forms the southern section of the bay of fires. why i love it “the landscape is so wild and beautiful. red lichen-covered rocks contrast brilliantly with white sand and turquoise water, and there is so much animal and bird life. if you want a total change from the city, this is the place i’d recommend.” – elisabeth knowles, editor, australian traveller "
29,"Devils Marbles, NT"," just off the stuart highway, near davenport, 395km north of alice springs and 760km south of katherine how to see it for yourself? known as karlu karlu and a sacred site to the traditional aborginal owners, the devils marbles can be explored on foot after a short drive off the highway. there is a 15-minute self-guided walk commencing at the car park, as well as a network of other tracks. during the cooler months, guided walks and talks are available – contact the tennant creek visitor information centre for details. why i love it “as a strange collection of boulders strewn across a spinifex valley in imposing, sometimes impossible positions, the devils marbles is unlike anything else. made of granite and rounded by erosion, its official name implies a diabolical origin – as if the devil had thrown them down with mischievous carelessness. i prefer to think of them as the handiwork of a creator who does nothing haphazardly.” – ken duncan "
30,"The Great Ocean Walk/Cycle Way, WA"," esperance, 730km south-east of perth how to see it for yourself? the 15km walking and bike trail commences at castletown quay and follows the foreshore through esperance, taking in the esplanade, rotary lookout, west beach and blue haven and finishing at twilight beach. sections can be accessed from car parks along its length. this view is from the car park at salmon beach, about 11km along the trail. there’s a 40km great ocean drive, too, from the cannery art centre along the coast to observatory point, nine mile beach and ten mile lagoon before looping inland to pink lake and the glass gallery. why i love it “the path is very popular with tourists and locals. the beaches around here are used regularly for swimming; the walk trail is great for cycling and is also used for triathlons.” – tahnee adamson, esperance visitor centre "
31,"Overland Track, TAS"," tasmania’s central north wilderness, from cradle mountain in the north to lake st clair to the south how to see it for yourself? this spectacular 65km, six-day walk is very popular and must be booked in the summer peak, november 1 to april 30, when you can only walk north to south. private cars can be parked at both cradle mountain and lake st clair ends. otherwise bus operators such as tassielink and mcdermotts coaches, service both ends from major towns. this particular shot was taken from the summit of cradle mountain itself. why i love it “nothing compares to the uniqueness of this view – the glacier-carved landscape decorated with tannin-stained lakes, the soaring peaks, and the plunging gorges. it’s amazing to see the stark alpine plains and hear the silent green rainforests. the range of plant species – including the fagus, one of australia’s few native cold-living deciduous trees – is another remarkable feature of this region.” – diane byrne, tourism tasmania "
32,"The Daintree from Myall Beach, QLD"," cape tribulation, 120km north of cairns how to see it for yourself? just opposite cape tribulation camping, lot 11 on cape tribulation road, is the dubuji boardwalk. the boardwalk leads directly to myall beach where this view can be seen when looking south. this pristine beach has a fringing coral reef that’s exposed at low tide: a great place to explore the rockpools. inviting as it looks, you can’t swim here in summer stinger season. it’s also one of the many tropical north queensland beaches where the daintree rainforest fringespristine white sand. why i love it “cape tribulation is where the rainforest meets the reef.” – dale flack, tourism tropical north queensland "
33,"Christmas trees at Cape Le Grand National Park, WA"," on wa’s south coast, 50km east of esperance how to see it for yourself? the wa christmas tree, nuytsia floribunda, produces spectacular flowers in summer but is rarely found outside the south of the state. visitors can self-drive to the park by car and see the park’s wildflowers, fauna and idyllic beaches, but for local knowledge and expert advice, try a guided tour such as with esperance eco- discovery tours. alternatively, aussie bight expeditions runs wildflower tours during spring.  why i love it? “native christmas trees are so vibrantly coloured, and when you pair them with clusters of tuftyheaded grass trees, the landscape takes on the aspect of a pixar-created prehistoric world.” – elisabeth knowles, editor, australian traveller. "
34,"Deep Water Point, WA"," overlooking the canning river in mount pleasant, 10km south of perth’s cbd how to see it for yourself? this shot was captured at sunrise from the sand right next to deep water point jetty. get there at least 20 minutes before sunrise to see the colour changes in the sky. why i love it “deepwater point is my favourite location to visit in perth, especially at sunrise. the jetty is a unique structure and points directly at the city, making for great photographs.” – mark gray "
35,"Lake Ballard, WA"," 51km west of menzies, 680km north-east of perth how to see it for yourself? follow the goldfields highway from kalgoorlie to menzies before turning left at a well-signposted service station onto a gravel road heading northwest.continue a further 50km to the sign posted turn to lake ballard car park. from there, visitors can walk throughout the 10-square-kilometre salt lake, featuring the inside australia exhibit by antony gormley. there are 51 sculptures in total, said to represent local members of the community. this shot was taken near the visitor entrance and shows snake hill in the background, about 600m from the lake edge. why i love it “when you get there you realise it isn’t just the sculptures that you are viewing – the whole setting is an artscape. as you walk from one sculpture to the next you leave footprints on the salt, which is part of the artwork; man connected to man, connected to the environment. this is a magnificent art site in a magnificent location.” – jac eerbeek, australia’s golden outback "
36,"Eagle Falls, WA"," on the drysdale river in the kimberley, wa how to see it for yourself? the only way travellers can access eagle falls is via a helicopter flight with north star cruises, aboard the expedition ship true north. it offers a number of scenic flights around the area, including a five-star picnic package onsite. why i love it “this view perfectly shows the epic landing area for the helicopter and how close the falls are to where we land. it is sometimes hard to get a feeling of scale with such shots. the river was flowing especially well on this occasion so it was spectacular. you can also see how excited the passengers are to be there.” – mark stothard, true north director "
37,"El Questro Homestead, WA"," coolibah drive near kununurra, in the kimberley, 830km south-west of darwin how to see it for yourself? this stunning view was taken on board an el questro scenic flight. the experience takes visitors above the homestead in an open-door helicopter ride, over the cockburn ranges andthrough the pentecost and (pictured) chamberlain gorges. a 30-minute scenic tour starts at $280 per person. why i love it “the amazing contrast of the chamberlain river with the rugged landscape of the cockburn ranges in the background – simply breathtaking.” – joseph boulos, delaware north australia parks and resorts "
38,"Genoa Peak, VIC"," croajingolong national park, gippsland, 500km north-east of melbourne how to see it for yourself? turn off the princes highway at genoa peak road, west of genoa. travel 8km to the car park and picnic area. from there, take a 1.5km return walk to the summit (allow an hour each way). a steel ladder gives access to the viewing platform. “croajingolong national park is a unesco world biosphere reserve, which means there is an effort to preserve the landscape in such a way that people can discover it and enjoy it without destroying it. standing at genoa peak is a supremely peaceful experience.” – elisabeth knowles, former editor, australian traveller "
39,"Gunlom Falls top pool, NT"," waterfall creek in kakadu national park, 315km south-east of darwin how to see it for yourself? gunlom falls are accessible by 4wd vehicles along the gunlom track, near the southern entrance to kakadu national park. drive carefully as the track is unsealed, subject to flooding and sandy in areas. it is impassable in the wet season but open between may and october. once there, visitors can swim at the base of the falls or take the walking track to the top where there are more swimming holes – and where this view was taken. the walking track is steep, uneven and suitable for people with a medium level of fitness. remember to take plenty of water for the trek. why i love it “it’s the magical combination of a waterfall and serene plunge pool, with shady gums cooling the picnic areas. a steep climb to the top of the waterfall provides sweeping views of the southernmost parts of kakadu national park while you enjoy a relaxing dip in the crystal-clear pools.” – nelson hall, tourism nt "
40,"Horse Muster, Glenworth Valley, NSW"," central coast hinterland, 65km north-west of sydney, at glenworth valley horse riding, 69 cooks road, peats ridge how to see it for yourself? this view is taken at the popran creek crossing, in front of the main horse riding complex at glenworth valley. however, the best way for visitors to see the running in of the horses each morning is to camp the night so you are there in time. the paddocks the horses are kept in overnight are regularly rotated, meaning their route can vary. check with staff for information on the safest location to view them. why i love it “the daily mustering of the property’s 200 horses is a sight to behold. the ground shakes as the horses run through the morning fog and splash through the waters of popran creek and up the bank towards the yards, ready for a day of transporting guests along 50km ofprivate riding trails. it’s a ritual that has been done here for over 40 years.” – nicole hain, glenworth valley outdoor adventures "
